protein,length,pLDDT,pTM,plddt_class,id
group_19844,144,60.9,0.289,Low,NA
ykfA_1~~~yfjP_4~~~yfjP_3~~~yfjP_1,144,62.9,0.54,Low,NA
group_3573,144,83.3,0.778,Confident,NA
quuD~~~quuD_2~~~quuD_1~~~quuD_3,144,61.3,0.607,Low,NA
group_4032,144,36.4,0.244,Very low,NA
group_11962,144,44.3,0.259,Very low,NA
group_19847,145,57.4,0.322,Low,NA
group_3544,145,67.1,0.628,Low,NA
group_3587,145,73.8,0.676,Confident,NA
wzb~~~etp_2,145,89.2,0.92,Confident,NA
group_18472,145,70.3,0.733,Confident,NA
group_11958,145,53.6,0.477,Low,NA
group_4139,145,43,0.321,Very low,NA
cbeA_3~~~cbeA~~~cbeA_1~~~yafW_2~~~yfjZ~~~yafW~~~cbeA_2~~~cbeA_4~~~cbeA_5,145,33,0.221,Very low,NA
group_19991,146,30.8,0.138,Very low,NA
yfjS_1~~~yfjS,147,53.2,0.41,Low,NA
group_3497,147,68.2,0.548,Low,NA
group_12745,147,76.7,0.727,Confident,NA
group_3594,147,50.7,0.284,Low,NA
group_10847,147,62.6,0.576,Low,NA
group_3774,147,64.1,0.515,Low,NA
yjdN,147,83.8,0.838,Confident,NA
group_4252,147,44,0.335,Very low,NA
yjaB_2~~~yjaB_1,147,86.7,0.883,Confident,NA
group_4526,147,55.5,0.288,Low,NA
group_19829,148,27.7,0.164,Very low,NA
group_3477,148,81.1,0.811,Confident,NA
group_3717,148,34,0.205,Very low,NA
group_11532,148,41.8,0.277,Very low,NA
group_10521,148,73.8,0.695,Confident,NA
group_10530,148,80.4,0.856,Confident,NA
group_4086,148,41.4,0.176,Very low,NA
group_20071,148,53.7,0.586,Low,NA
group_19880,149,71,0.694,Confident,NA
group_11101,149,66.1,0.419,Low,NA
group_19894,149,75.2,0.614,Confident,NA
group_3732,149,80.1,0.796,Confident,NA
psiB_1~~~psiB~~~psiB_2,149,40.7,0.339,Very low,NA
group_13244,149,41.4,0.301,Very low,NA
group_13246,149,62.8,0.592,Low,NA
group_20127,149,64.7,0.464,Low,NA
group_3411,150,72.4,0.721,Confident,NA
ybcO~~~ybcO_1~~~ybcO_2~~~ybcO_3,150,73.7,0.61,Confident,NA
group_10577,150,79,0.41,Confident,NA
ykfG_1~~~ykfG,150,78.1,0.765,Confident,NA
group_4144,150,69,0.667,Low,NA
group_4316,150,49.5,0.424,Very low,NA
group_3491,151,62.6,0.512,Low,NA
group_19911,151,68.2,0.524,Low,NA
group_3780,151,43.8,0.423,Very low,NA
group_19833,151,51.3,0.397,Low,NA
merR~~~zntR_2,151,77.7,0.713,Confident,NA
yafY~~~yafY_1,151,52.9,0.433,Low,NA
group_4148,151,67.6,0.712,Low,NA
group_9913,151,62.9,0.593,Low,NA
sicA,151,83.5,0.845,Confident,NA
group_3326,152,54.4,0.425,Low,NA
group_8475,152,38.3,0.21,Very low,NA
group_3944,152,61.4,0.636,Low,NA
yfjX_3~~~yfjX_2~~~yafX~~~yafX_1~~~yfjX,152,81.6,0.842,Confident,NA
dicA~~~dicA_3,152,70.9,0.462,Confident,NA
group_4210,152,73.7,0.711,Confident,NA
group_4314,152,45.9,0.275,Very low,NA
yhcR_1~~~nuc,153,79.6,0.796,Confident,NA
rzpD_1~~~rzpD_2,153,75,0.422,Confident,NA
group_4565,153,65.4,0.657,Low,NA
group_3231,154,73.5,0.689,Confident,NA
group_3323,154,75.8,0.665,Confident,NA
group_4035,154,62.4,0.457,Low,NA
group_4158,154,80.7,0.844,Confident,NA
group_4328,154,50.5,0.387,Low,NA
group_19797,155,79.8,0.57,Confident,NA
yfjT,155,68.1,0.711,Low,NA
group_3530,155,56.9,0.492,Low,NA
rzpD_3~~~rzpD_4~~~rzpD_2,155,72.3,0.348,Confident,NA
group_12020,155,76.3,0.559,Confident,NA
group_3721,155,67.8,0.421,Low,NA
group_3795,155,72.9,0.671,Confident,NA
group_3995,155,58.6,0.579,Low,NA
group_4059,155,75.7,0.761,Confident,NA
group_8305,155,44.5,0.333,Very low,NA
group_10140,155,84,0.703,Confident,NA
group_4145,155,74.8,0.751,Confident,NA
rzpD_2~~~rzpD_1~~~rzpD_5~~~rzpD~~~rzpD_4,155,72,0.4,Confident,NA
group_9407,156,64.1,0.466,Low,NA
rzpD~~~rzpD_1,156,76.7,0.561,Confident,NA
group_4503,156,59.8,0.618,Low,NA
rzpD_1~~~rzpD_2~~~rzpD_3~~~rzoD~~~rzpD_5~~~rzpD_4,157,74.3,0.387,Confident,NA
group_3240,157,66.7,0.402,Low,NA
group_19860,157,70.1,0.67,Confident,NA
ykfB~~~yfjT~~~yfjT_1,157,70.7,0.723,Confident,NA
group_20065,157,80,0.826,Confident,NA
yeeS_2~~~yeeS_1,158,77.5,0.732,Confident,NA
group_19838,158,58.5,0.612,Low,NA
yeeS_2~~~yeeS~~~yeeS_1,158,77,0.727,Confident,NA
group_3470,158,83.9,0.863,Confident,NA
yjaB_1~~~yjaB~~~yjaB_2,158,84,0.854,Confident,NA
group_3663,158,43.4,0.248,Very low,NA
group_9845,158,53.8,0.535,Low,NA
group_3770,158,74.2,0.426,Confident,NA
group_19907,158,48.5,0.366,Very low,NA
group_3924,158,62,0.356,Low,NA
group_4505,158,28.8,0.186,Very low,NA
insD6_3~~~insD6~~~insD6_1,159,53.2,0.462,Low,NA
group_18471,159,69.8,0.656,Low,NA
group_3965,159,53,0.428,Low,NA
yfjY~~~ykfG,159,76.8,0.757,Confident,NA
yfjY~~~ykfG_1~~~ykfG_2~~~ykfG~~~yeeS~~~yeeS_2~~~yeeS_4~~~yeeS_5~~~yeeS_1,159,77.4,0.746,Confident,NA
yfjX_1~~~yfjX~~~yfjX_2~~~yafX_2~~~yafX,159,73,0.779,Confident,NA
group_20069,159,52.9,0.446,Low,NA
yhhZ~~~yhhZ_2~~~yhhZ_3,159,83.8,0.868,Confident,NA
group_4519,159,72,0.669,Confident,NA
group_19857,160,36.6,0.204,Very low,NA
group_10540,160,52.1,0.58,Low,NA
group_3969,160,67.9,0.669,Low,NA
group_3983,160,76.2,0.74,Confident,NA
yfjY_2~~~yfjY~~~ykfG_2~~~ykfG~~~yeeS_4~~~yeeS~~~yeeS_3~~~yeeS_2~~~yeeS_1,160,77.9,0.745,Confident,NA
ykfG~~~yfjY~~~ykfG_2~~~ykfG_3~~~yeeS_1~~~yeeS,160,77.5,0.75,Confident,NA
group_4456,160,41.4,0.262,Very low,NA
yfdK_4~~~yfdK_3~~~yfdK_2~~~yfdK_1~~~yfdK,160,79.2,0.639,Confident,NA
group_19846,161,69.5,0.415,Low,NA
group_3459,161,75.8,0.824,Confident,NA
group_19873,161,29.5,0.178,Very low,NA
group_3722,161,69.4,0.608,Low,NA
yfjX~~~yfjX_1~~~yfjX_2~~~yafX_2~~~yafX~~~yafX_1~~~yfjX_7~~~yafX_3~~~yfjX_3,161,73.8,0.761,Confident,NA
group_4312,161,72.4,0.645,Confident,NA
group_3632,162,78.5,0.694,Confident,NA
yfdK_2~~~yfdK~~~yfdK_3~~~yfdK_1,162,79.9,0.595,Confident,NA
group_19763,163,31.7,0.132,Very low,NA
group_8923,163,57.5,0.288,Low,NA
group_3608,163,61,0.577,Low,NA
group_11548,163,36.5,0.227,Very low,NA
rrrD~~~rrrD_1,163,87.1,0.889,Confident,NA
group_3359,164,71.1,0.53,Confident,NA
group_3413,164,58.9,0.552,Low,NA
group_4057,164,77.1,0.778,Confident,NA
group_9147,164,72.9,0.434,Confident,NA
group_4432,164,88.2,0.904,Confident,NA
group_3335,165,57.8,0.526,Low,NA
group_3745,165,66.2,0.484,Low,NA
group_4238,165,72.9,0.645,Confident,NA
group_4422,165,60.8,0.467,Low,NA
group_19767,166,29.9,0.124,Very low,NA
group_19900,166,31.1,0.193,Very low,NA
group_3692,166,36,0.249,Very low,NA
group_3878,166,52,0.409,Low,NA
group_3885,166,59.4,0.363,Low,NA
group_4126,166,60.1,0.413,Low,NA
uxaA_3~~~uxaA_1~~~garD_3,166,74,0.749,Confident,NA
insB3~~~insB6_1~~~insB6~~~insB6_2,167,65.1,0.704,Low,NA
group_3390,167,78.7,0.758,Confident,NA
nuc~~~yhcR_2~~~yhcR,167,76,0.73,Confident,NA
group_9888,167,72.2,0.712,Confident,NA
group_4268,167,65.3,0.478,Low,NA
group_4289,167,72.5,0.573,Confident,NA
insB6_2~~~insB6_1~~~insB6,167,65,0.703,Low,NA
group_3257,168,47.1,0.285,Very low,NA
group_20080,168,60.4,0.519,Low,NA
group_4516,168,66.9,0.567,Low,NA
group_4532,168,80.1,0.834,Confident,NA
insA6_1~~~insA6_2~~~insA6_4,169,28.2,0.155,Very low,NA
group_19886,170,62.1,0.45,Low,NA
group_9203,170,79.5,0.554,Confident,NA
yfcR~~~yfcR_1,170,86.9,0.728,Confident,NA
group_19948,170,72.3,0.791,Confident,NA
proQ_1~~~proQ_2~~~proQ_3,170,64,0.588,Low,NA
group_4061,170,72.3,0.7,Confident,NA
group_19990,170,75.5,0.444,Confident,NA
group_4182,170,89.2,0.918,Confident,NA
group_15477,170,61.8,0.342,Low,NA
group_3233,171,81.8,0.717,Confident,NA
yfcR~~~yfcR_1~~~yfcR_2,171,80.2,0.726,Confident,NA
group_3945,171,57.2,0.58,Low,NA
group_4019,171,77,0.755,Confident,NA
group_8741,171,71.8,0.71,Confident,NA
group_9200,171,36.7,0.261,Very low,NA
group_20122,171,63.8,0.462,Low,NA
group_3236,172,75.5,0.663,Confident,NA
group_14367,172,61.7,0.615,Low,NA
group_3439,172,63.2,0.694,Low,NA
group_3516,172,28.9,0.139,Very low,NA
group_3987,172,76.8,0.762,Confident,NA
group_4249,172,71.8,0.7,Confident,NA
group_9835,173,84.8,0.891,Confident,NA
group_8873,173,62.1,0.574,Low,NA
group_4414,173,80.6,0.771,Confident,NA
group_4490,173,67.6,0.571,Low,NA
group_19774,174,63.3,0.517,Low,NA
group_3305,174,86.9,0.839,Confident,NA
group_3514,174,74.8,0.741,Confident,NA
group_19874,174,30.2,0.174,Very low,NA
rzpD_6~~~rzpD_1~~~rzpD_3~~~rzpD_5~~~rzpD_2~~~rzpD_4~~~rzpD,174,74.1,0.416,Confident,NA
rzpD~~~rzpD_4~~~rzpD_3~~~rzpD_1~~~rzpD_2~~~rzpD_5~~~rzoD~~~rzpD_6,174,72.6,0.416,Confident,NA
group_19952,174,40.6,0.256,Very low,NA
group_19966,174,46,0.253,Very low,NA
group_3146,175,61,0.502,Low,NA
group_3151,175,51,0.343,Low,NA
group_3593,175,87.3,0.684,Confident,NA
group_19877,175,80.8,0.521,Confident,NA
group_3857,175,42.5,0.282,Very low,NA
ykfG~~~yfjY_2,175,80,0.735,Confident,NA
group_19831,176,26.5,0.144,Very low,NA
group_19893,176,27.1,0.122,Very low,NA
group_3682,176,80.3,0.768,Confident,NA
group_19906,176,85.6,0.624,Confident,NA
ydfX,176,68.9,0.517,Low,NA
group_20019,176,83.1,0.559,Confident,NA
oppA_1~~~oppA_2,177,69.6,0.548,Low,NA
group_3197,177,78.8,0.646,Confident,NA
group_19785,177,85.1,0.679,Confident,NA
rrrQ_1~~~rrrQ_3~~~rrrQ_2,177,82.3,0.841,Confident,NA
group_3513,177,76.3,0.611,Confident,NA
rrrQ~~~rrrQ_1~~~rrrQ_2~~~rrrQ_3~~~rrrQ_4~~~rrrQ_5,177,79.7,0.812,Confident,NA
group_9201,177,59.3,0.393,Low,NA
group_4491,177,48.8,0.351,Very low,NA
group_4508,177,88.2,0.704,Confident,NA
group_19972,178,79.6,0.448,Confident,NA
yfdR~~~yfdR_2~~~yfdR_1,178,87.9,0.914,Confident,NA
group_19965,178,77.3,0.757,Confident,NA
group_12184,178,75.2,0.465,Confident,NA
group_19868,178,79.2,0.826,Confident,NA
group_20113,178,80.7,0.723,Confident,NA
group_17261,179,74.6,0.456,Confident,NA
group_19862,179,27.2,0.135,Very low,NA
group_19909,179,84.4,0.452,Confident,NA
group_3743,179,84.3,0.906,Confident,NA
pinE_4,179,83.6,0.754,Confident,NA
group_19892,180,27.7,0.149,Very low,NA
group_11157,180,58.1,0.398,Low,NA
group_19936,180,68.3,0.424,Low,NA
group_9210,180,61.8,0.583,Low,NA
group_4142,180,80.1,0.651,Confident,NA
group_4413,180,77.3,0.529,Confident,NA
group_4416,180,58.9,0.5,Low,NA
group_19771,181,87.1,0.773,Confident,NA
group_14147,181,86.4,0.868,Confident,NA
sigL,181,83.8,0.566,Confident,NA
group_4118,181,77.1,0.728,Confident,NA
group_9872,181,80.2,0.67,Confident,NA
group_9216,182,87.3,0.876,Confident,NA
group_4297,182,73.7,0.419,Confident,NA
group_4347,182,84.5,0.86,Confident,NA
rrrQ_1~~~rrrQ~~~rrrQ_5~~~rrrQ_3~~~rrrQ_2,182,79.9,0.823,Confident,NA
group_4478,182,69.6,0.776,Low,NA
group_20118,182,90.7,0.772,Very high,NA
yfcP~~~yfcP_1~~~yfcP_2,183,84.3,0.751,Confident,NA
group_19756,183,87.8,0.888,Confident,NA
rzpD_3~~~rzpD_4~~~rzpD_2~~~rzpD_1~~~rzpD,183,76,0.461,Confident,NA
group_9199,183,81,0.475,Confident,NA
group_20052,183,29.5,0.188,Very low,NA
nohA~~~nohD_1~~~nohD_2~~~nohD,183,85.1,0.445,Confident,NA
mprA_3~~~mprA_1,183,80.5,0.739,Confident,NA
group_3196,184,70.1,0.794,Confident,NA
group_19837,184,74.6,0.573,Confident,NA
group_3582,184,70.4,0.336,Confident,NA
group_10321,184,91.1,0.873,Very high,NA
group_19975,184,89.6,0.914,Confident,NA
group_4443,184,78.4,0.633,Confident,NA
group_19826,185,28.2,0.147,Very low,NA
group_3543,185,92.2,0.865,Very high,NA
group_3877,185,40.5,0.236,Very low,NA
group_4102,185,41.3,0.267,Very low,NA
group_4421,185,65.2,0.456,Low,NA
group_4482,185,42.4,0.234,Very low,NA
group_18466,186,84.3,0.67,Confident,NA
group_3230,186,74.3,0.685,Confident,NA
group_19821,186,39.4,0.255,Very low,NA
group_19898,186,87.2,0.452,Confident,NA
group_19942,186,76.1,0.6,Confident,NA
insB3~~~insB4~~~insB6_1~~~insB6~~~insB6_23~~~insB6_2,186,73,0.767,Confident,NA
finO_1~~~finO_3~~~finO,186,76.8,0.653,Confident,NA
group_19792,187,76.8,0.621,Confident,NA
group_19798,187,70,0.619,Confident,NA
group_3789,187,83.8,0.523,Confident,NA
group_3790,187,83,0.503,Confident,NA
group_4050,187,82.5,0.779,Confident,NA
group_4427,187,83.8,0.861,Confident,NA
group_3154,188,77.1,0.841,Confident,NA
group_20038,188,64.9,0.72,Low,NA
group_19781,189,75,0.678,Confident,NA
group_3229,189,70.8,0.639,Confident,NA
ybfP,189,36.6,0.248,Very low,NA
yagK_2~~~yagK~~~yagK_3~~~yagK_1~~~yfjJ~~~yagK_4,189,84,0.9,Confident,NA
group_13818,189,80.1,0.716,Confident,NA
yagK_1~~~yagK~~~yfjJ_1~~~yagK_2~~~yfjJ,189,83.5,0.896,Confident,NA
group_19919,189,74.6,0.398,Confident,NA
group_9730,189,93.7,0.883,Very high,NA
group_20022,189,49.4,0.374,Very low,NA
pinE_1~~~pinE_3~~~pinE_4,189,75.7,0.591,Confident,NA
pinR_1~~~pinQ,189,82,0.664,Confident,NA
group_3455,190,78.1,0.759,Confident,NA
group_3926,190,91.4,0.937,Very high,NA
group_4066,190,86.3,0.728,Confident,NA
group_20003,190,40.3,0.249,Very low,NA
yscJ,190,90.1,0.702,Very high,NA
pinE_1~~~tnpR~~~pinE,190,77,0.597,Confident,NA
rrrD_1~~~rrrD~~~rrrD_3~~~rrrD_2,190,86.1,0.809,Confident,NA
group_4455,190,61.7,0.517,Low,NA
group_19777,191,94.6,0.784,Very high,NA
group_3485,191,86.5,0.782,Confident,NA
group_13815,191,67.3,0.581,Low,NA
group_10517,191,68.6,0.437,Low,NA
group_3168,192,79.1,0.69,Confident,NA
group_19786,192,28.7,0.126,Very low,NA
group_16939,192,82.1,0.594,Confident,NA
pinR_2,192,92.9,0.79,Very high,NA
group_3949,192,87.6,0.75,Confident,NA
tfaD_2~~~tfaD~~~tfaR,192,95.7,0.804,Very high,NA
yghD_2~~~yghD_1~~~yghD,192,88.6,0.505,Confident,NA
yfdN_2~~~yfdN~~~yfdN_1,192,62.2,0.354,Low,NA
group_4439,192,72.2,0.71,Confident,NA
pinE_3~~~pinE,192,93.1,0.784,Very high,NA
group_20006,192,74.6,0.627,Confident,NA
group_20108,192,94.7,0.795,Very high,NA
group_3888,193,43.8,0.314,Very low,NA
group_20033,193,91.9,0.892,Very high,NA
stpA_2~~~stpA_1~~~hns_2~~~stpA,193,81.1,0.464,Confident,NA
group_11415,194,52.8,0.342,Low,NA
tfaQ_4~~~tfaQ_1~~~tfaD~~~tfaQ_2~~~tfaQ~~~tfaD_1~~~tfaD_2~~~tfaR,194,95.3,0.807,Very high,NA
pinE_2~~~pinE,194,90.3,0.766,Very high,NA
group_19915,194,79.2,0.797,Confident,NA
group_8425,194,81.6,0.655,Confident,NA
group_19960,194,85.1,0.898,Confident,NA
group_4308,194,55.5,0.485,Low,NA
group_4354,194,88,0.665,Confident,NA
group_4009,195,79.7,0.7,Confident,NA
group_9866,195,81.7,0.712,Confident,NA
group_13003,196,82.3,0.878,Confident,NA
group_3320,196,70.2,0.553,Confident,NA
group_3325,196,87.1,0.593,Confident,NA
group_3585,196,76.7,0.746,Confident,NA
group_19891,196,25,0.13,Very low,NA
yfjY,196,74.8,0.701,Confident,NA
pinR_2~~~pinR~~~pinQ~~~pinR_1,196,93.5,0.804,Very high,NA
pinR~~~pinQ_2~~~pinQ~~~pinR_2~~~pinR_1,196,94.7,0.827,Very high,NA
group_19784,197,73.8,0.421,Confident,NA
group_3381,197,74.8,0.527,Confident,NA
pinE_3~~~pinE_2,197,90.4,0.755,Very high,NA
group_3664,197,78,0.769,Confident,NA
group_3752,197,85.4,0.886,Confident,NA
group_19980,197,58.2,0.469,Low,NA
yhcR~~~yhcR_2~~~nucH,197,86.8,0.745,Confident,NA
group_3726,198,73.7,0.4,Confident,NA
idnK~~~idnK_1~~~idnK_2,198,89.1,0.886,Confident,NA
group_14802,199,61.3,0.622,Low,NA
group_3733,199,78.1,0.689,Confident,NA
tfaQ_2~~~tfaQ_3~~~tfaQ~~~tfaD_1~~~tfaD~~~tfaQ_1~~~tfaD_2~~~tfaR,199,95.2,0.816,Very high,NA
group_4168,199,31.6,0.186,Very low,NA
group_3172,200,38.7,0.28,Very low,NA
group_3432,200,95.3,0.94,Very high,NA
group_15860,200,76.5,0.659,Confident,NA
group_19454,200,76.9,0.655,Confident,NA
group_19913,200,69.1,0.447,Low,NA
group_19918,200,76.6,0.354,Confident,NA
group_4195,200,93.6,0.91,Very high,NA
xerC_1~~~xerC_2~~~xerC_3~~~xerC_6,200,90.3,0.905,Very high,NA
group_3179,201,37.8,0.237,Very low,NA
group_19802,201,47.7,0.285,Very low,NA
ynbA,201,92.3,0.944,Very high,NA
group_8338,201,52.8,0.335,Low,NA
group_19793,202,63.2,0.494,Low,NA
group_3813,202,70.4,0.435,Confident,NA
group_17399,202,88.8,0.828,Confident,NA
group_4389,202,86.9,0.66,Confident,NA
group_19806,203,68.9,0.655,Low,NA
group_14561,203,56.3,0.303,Low,NA
group_3638,203,60.3,0.356,Low,NA
tfaE_2~~~tfaE_1~~~tfaE_3~~~tfaE,203,95.9,0.817,Very high,NA
nohD_2~~~nohA~~~nohD,203,82.6,0.414,Confident,NA
group_4087,203,82.7,0.657,Confident,NA
yfjX_3~~~yfjX_4~~~yfjX_2~~~yfjX~~~yfjX_1,204,54.4,0.377,Low,NA
group_18464,204,87.3,0.805,Confident,NA
group_4399,204,77.9,0.712,Confident,NA
group_4556,204,84.4,0.785,Confident,NA
group_3201,205,81.5,0.744,Confident,NA
tfaE~~~tfaE_3~~~tfaE_2~~~tfaE_1~~~tfaE_4,205,96.9,0.835,Very high,NA
group_19944,205,77.6,0.705,Confident,NA
group_3925,205,39.5,0.259,Very low,NA
yagK_1~~~yagK_2,205,77.5,0.843,Confident,NA
group_4277,205,82.6,0.625,Confident,NA
group_10520,206,89.3,0.62,Confident,NA
group_8438,206,45.8,0.278,Very low,NA
group_4245,206,85.9,0.907,Confident,NA
group_3867,207,79,0.393,Confident,NA
group_20015,207,74.9,0.533,Confident,NA
group_4286,207,93.5,0.791,Very high,NA
group_20079,207,89.6,0.935,Confident,NA
group_4395,207,70.2,0.599,Confident,NA
ompX_1~~~ail~~~ompX_2,207,89,0.869,Confident,NA
group_3206,208,61.8,0.279,Low,NA
pinQ~~~bin3_1~~~bin3,208,90.9,0.837,Very high,NA
group_9075,208,76.2,0.639,Confident,NA
yfjJ,208,87.3,0.924,Confident,NA
group_3863,208,65.1,0.57,Low,NA
group_20036,209,84.3,0.622,Confident,NA
group_11321,209,74.3,0.638,Confident,NA
yeeW,209,34,0.209,Very low,NA
ssb_3~~~ssb_2~~~ssb_1~~~ssb_4~~~ssb,210,78.3,0.578,Confident,NA
group_3614,210,88.8,0.78,Confident,NA
group_12759,210,85.9,0.865,Confident,NA
group_3400,211,58.4,0.369,Low,NA
group_19932,211,91.9,0.935,Very high,NA
group_16943,211,87.8,0.667,Confident,NA
group_4151,211,56.3,0.386,Low,NA
ymfL~~~ymfL_1~~~ymfL_2,211,78.4,0.581,Confident,NA
group_19769,212,41.7,0.257,Very low,NA
group_19835,212,71.7,0.336,Confident,NA
group_3507,212,84.9,0.904,Confident,NA
group_19882,212,80.2,0.544,Confident,NA
group_3538,212,79.5,0.601,Confident,NA
ybdM_3~~~ybdM_1~~~ybdM_4~~~ybdM_2,212,85.2,0.85,Confident,NA
group_4533,212,70.9,0.669,Confident,NA
group_19808,213,33,0.098,Very low,NA
group_3654,213,72.1,0.516,Confident,NA
group_12285,213,74.3,0.414,Confident,NA
group_19923,213,71.4,0.658,Confident,NA
bin3,213,88,0.819,Confident,NA
group_4387,213,90.9,0.841,Very high,NA
group_19865,214,80.5,0.568,Confident,NA
group_3528,214,41.9,0.271,Very low,NA
group_3649,214,33.7,0.183,Very low,NA
group_8544,214,86.4,0.588,Confident,NA
group_4512,214,77.7,0.709,Confident,NA
group_19895,215,25,0.127,Very low,NA
group_4001,215,79.5,0.722,Confident,NA
group_8531,215,88.5,0.661,Confident,NA
pinE_1~~~pinE~~~pinE_3~~~pinE_2,215,81.4,0.682,Confident,NA
group_16940,216,85.2,0.613,Confident,NA
group_3907,216,82.1,0.599,Confident,NA
ybdM_3~~~ybdM_2~~~ybdM_1,216,86.3,0.844,Confident,NA
group_4227,216,75,0.799,Confident,NA
group_4323,216,80.7,0.403,Confident,NA
group_13481,216,27,0.154,Very low,NA
cysA_2~~~ybhF_2~~~afuC_1~~~afuC_2~~~kpsT,216,93,0.931,Very high,NA
insO2~~~insF5_3~~~insF5~~~insO2_1~~~insO1,217,92.8,0.883,Very high,NA
group_3220,217,75.3,0.84,Confident,NA
group_3343,217,67.3,0.419,Low,NA
group_3562,217,76.2,0.465,Confident,NA
group_10485,217,36.6,0.202,Very low,NA
group_4163,217,92.4,0.915,Very high,NA
group_4165,217,87,0.609,Confident,NA
group_20056,217,88,0.783,Confident,NA
group_4390,217,83.1,0.889,Confident,NA
group_20092,217,82.1,0.872,Confident,NA
group_19856,218,25.3,0.144,Very low,NA
group_3180,219,94.7,0.965,Very high,NA
group_12792,219,87.2,0.762,Confident,NA
group_4458,219,90.4,0.836,Very high,NA
glnP_1~~~glnP,219,96.3,0.968,Very high,NA
group_3365,220,78.3,0.806,Confident,NA
yfdM,220,82.9,0.857,Confident,NA
group_3147,221,88.1,0.741,Confident,NA
group_4400,221,35.1,0.174,Very low,NA
group_3447,222,83.7,0.611,Confident,NA
group_3501,222,80.4,0.524,Confident,NA
group_19967,222,77.8,0.563,Confident,NA
group_4255,222,73.1,0.376,Confident,NA
group_4339,222,93.4,0.951,Very high,NA
group_4446,222,73.7,0.422,Confident,NA
group_4529,222,57.2,0.362,Low,NA
yaiS_1~~~yaiS~~~yaiS_2,223,94.1,0.959,Very high,NA
group_20107,223,93.5,0.788,Very high,NA
group_19979,224,68.1,0.439,Low,NA
group_3508,225,81,0.357,Confident,NA
group_16384,225,72.1,0.377,Confident,NA
group_4559,225,79.1,0.368,Confident,NA
group_3434,226,83,0.885,Confident,NA
group_9030,226,69,0.609,Low,NA
pdeH_2~~~pdeH_1,226,93.6,0.951,Very high,NA
yhdJ_2~~~yhdJ_1,227,88.7,0.928,Confident,NA
group_17055,227,84.2,0.821,Confident,NA
group_11959,228,69.7,0.389,Low,NA
kpsT~~~metN_1~~~cysA_2,228,91.8,0.925,Very high,NA
group_17923,229,85.9,0.859,Confident,NA
group_3194,229,67.1,0.62,Low,NA
group_3412,229,88.6,0.916,Confident,NA
group_3560,229,73.1,0.688,Confident,NA
group_4007,229,86.9,0.696,Confident,NA
group_4187,229,88.6,0.847,Confident,NA
group_4377,229,91.6,0.941,Very high,NA
group_3627,230,84.9,0.5,Confident,NA
group_3720,230,73.2,0.781,Confident,NA
group_3735,230,87.2,0.633,Confident,NA
group_4310,230,87.4,0.682,Confident,NA
group_20089,230,87.4,0.716,Confident,NA
cysA_2~~~malK_1~~~kpsT~~~cysA_1~~~malK_2,230,91,0.915,Very high,NA
glmU_2~~~lpxD_2~~~glmU_3~~~glmU_1,230,80.1,0.856,Confident,NA
group_12404,231,93,0.936,Very high,NA
group_11481,231,37.4,0.195,Very low,NA
group_19818,231,91.4,0.558,Very high,NA
group_19951,231,69.2,0.364,Low,NA
group_19863,232,92,0.902,Very high,NA
group_3916,232,63.3,0.27,Low,NA
group_19977,232,69.8,0.429,Low,NA
group_3256,233,76.8,0.501,Confident,NA
group_8916,233,67.1,0.44,Low,NA
group_3479,233,75.6,0.589,Confident,NA
group_20011,233,80.5,0.876,Confident,NA
group_4257,233,81.5,0.401,Confident,NA
group_10773,233,68.2,0.718,Low,NA
group_3304,234,76.3,0.539,Confident,NA
group_3415,234,79.2,0.677,Confident,NA
pinE_2~~~pinE_1~~~pinE_4~~~pinE_7,234,86.3,0.742,Confident,NA
group_9887,234,94.9,0.913,Very high,NA
group_20023,234,80.7,0.688,Confident,NA
group_20030,234,75.5,0.772,Confident,NA
group_10653,234,73.6,0.685,Confident,NA
group_20115,234,71.9,0.573,Confident,NA
group_4522,234,83.8,0.866,Confident,NA
group_4566,234,83.8,0.866,Confident,NA
group_10092,235,90.8,0.856,Very high,NA
group_3208,235,82.5,0.688,Confident,NA
group_3905,235,69.8,0.656,Low,NA
group_19973,235,81.6,0.395,Confident,NA
group_3640,236,70.9,0.549,Confident,NA
group_4081,236,88.3,0.493,Confident,NA
group_4278,236,66.5,0.606,Low,NA
insE5~~~insEF1~~~insE5_1~~~insE5_3,236,71.9,0.336,Confident,NA
group_19814,237,68.5,0.593,Low,NA
group_3463,237,69.1,0.328,Low,NA
group_3482,237,91.6,0.712,Very high,NA
group_14180,237,72.4,0.604,Confident,NA
group_3785,237,75.5,0.643,Confident,NA
yfjR~~~yfjR_2,237,78.8,0.692,Confident,NA
group_11268,237,84.2,0.732,Confident,NA
group_4453,237,77,0.731,Confident,NA
sapB_2,237,91.1,0.819,Very high,NA
group_4496,237,75.9,0.524,Confident,NA
group_19399,238,92.7,0.951,Very high,NA
group_4271,238,78.5,0.411,Confident,NA
group_4340,238,91.7,0.835,Very high,NA
group_19840,239,50.4,0.398,Low,NA
group_14316,239,79.9,0.569,Confident,NA
group_19788,240,70.1,0.277,Confident,NA
group_19855,240,73.3,0.461,Confident,NA
group_3642,240,71.7,0.567,Confident,NA
pikAV_1,240,94,0.963,Very high,NA
group_4134,240,88.2,0.867,Confident,NA
ydeO_1~~~ydeO_3~~~ydeO_2,240,84.5,0.621,Confident,NA
